state, time, pressure
2,5.05,74902.59
2,5.10,97488.38
0,0.00,99985.66
0,0.05,100812.63
0,0.10,100968.82
0,0.16,101051.70
0,0.21,101104.77
0,0.26,101142.00
0,0.31,101168.91
0,0.37,101188.63
0,0.42,101203.19
0,0.47,101213.78
0,0.52,101221.47
0,0.57,101227.07
0,0.63,101231.07
0,0.68,101233.66
0,0.73,101235.23
0,0.78,101235.71
0,0.83,101235.75
0,0.88,101235.50
0,0.94,101235.44
0,0.99,101235.01
0,1.04,101234.98
0,1.09,101235.15
0,1.14,101235.11
0,1.20,101235.18
0,1.25,101234.78
0,1.31,101234.34
0,1.39,101233.48
0,1.44,101232.63
0,1.52,101230.92
0,1.58,101230.19
0,1.62,101229.28
0,1.70,101228.28
0,1.75,101226.78
0,1.83,101225.79
0,1.88,101225.17
0,1.96,101223.83
0,2.01,101222.41
0,2.09,101221.44
0,2.14,101221.31
0,2.22,101221.64
0,2.27,101221.67
0,2.35,101221.67
0,2.40,101221.67
0,2.48,101221.05
0,2.53,101220.47
0,2.61,101220.52
0,2.66,101220.15
0,2.74,101219.69
0,2.79,101219.13
0,2.87,101218.55
0,2.91,101218.36
0,2.99,101218.00
0,3.04,101218.20
0,3.12,101217.73
0,3.17,101217.66
0,3.25,101217.36
0,3.30,101217.33
0,3.38,101217.62
0,3.43,101217.15
0,3.51,101216.71
0,3.57,101217.00
0,3.62,101217.53
0,3.69,101217.98
0,3.74,101218.28
0,3.82,101218.36
0,3.87,101218.62
0,3.95,101218.20
0,4.00,101218.02
0,4.08,101217.53
0,4.13,101217.09
0,4.21,101216.88
0,4.26,101216.72
0,4.34,101216.49
0,4.39,101216.59
0,4.47,101217.11
0,4.52,101217.80
0,4.60,101217.34
0,4.65,101217.03
0,4.73,101216.53
0,4.78,101215.84
0,4.86,101215.55
0,4.91,101215.63
0,4.98,101215.81
1,5.03,101215.46
1,5.11,100413.23
1,5.16,98940.37
1,5.24,97005.20
1,5.29,95950.83
1,5.37,94811.34
1,5.42,93929.63
1,5.50,93307.84
1,5.55,92857.72
1,5.61,92409.55
1,5.68,91679.67
1,5.73,91047.36
1,5.81,90638.20
1,5.86,90131.31
1,5.94,89576.07
1,5.99,89263.66
1,6.07,88588.58
1,6.12,88248.63
1,6.20,87780.98
1,6.25,87224.45
1,6.33,86896.53
1,6.38,86518.09
1,6.46,85953.63
1,6.51,85719.39
1,6.59,85165.23
1,6.64,84756.84
1,6.72,84431.49
1,6.77,83968.81
1,6.84,83546.38
1,6.89,83244.83
1,6.97,82647.41
1,7.02,82359.61
1,7.10,81922.04
1,7.15,81412.36
1,7.23,81108.04
1,7.28,80742.59
1,7.36,80241.08
1,7.41,80009.55
1,7.49,79507.05
1,7.54,79188.11
1,7.59,78212.31
1,7.64,77935.69
1,7.72,77814.91
1,7.77,77521.39
1,7.85,77338.59
1,7.90,77119.27
1,7.98,76682.79
1,8.03,76514.06
1,8.11,76117.73
1,8.16,75730.50
1,8.24,75476.77
1,8.29,75133.35
1,8.37,74698.09
1,8.42,74461.72
1,8.50,73994.08
1,8.55,73738.25
1,8.63,73410.95
1,8.68,73010.64
1,8.76,72756.80
1,8.81,72491.57
1,8.89,72063.17
1,8.94,71887.55
1,9.01,71489.23
1,9.06,71167.86
2,9.12,71069.02
2,9.20,71680.01
2,9.25,72211.20
2,9.32,72685.66
2,9.38,72973.50
2,9.45,73235.68
2,9.50,73400.42
2,9.58,73559.83
2,9.64,73641.84
2,9.69,73739.17
2,9.77,73842.91
2,9.82,73917.50
2,9.90,74002.17
2,9.95,74064.56
2,10.02,74138.35
2,10.07,74194.77
2,10.15,74263.31
2,10.20,74317.20
2,10.28,74383.43
2,10.33,74435.55
2,10.41,74500.94
2,10.46,74552.58
2,10.54,74616.23
2,10.59,74667.79
2,10.67,74732.66
2,10.72,74783.86
2,10.80,74847.84
2,10.85,74899.56
2,10.93,74963.62
2,10.98,75014.73
2,11.06,75078.72
2,11.11,75129.94
2,11.19,75193.06
2,11.24,75243.19
2,11.31,75305.97
2,11.36,75356.92
2,11.44,75420.27
2,11.49,75470.67
2,11.57,75532.42
2,11.63,75571.16
2,11.68,75623.92
2,11.76,75689.63
2,11.81,75740.95
2,11.89,75804.10
2,11.94,75854.23
2,12.02,75916.03
2,12.07,75965.13
2,12.15,76026.84
2,12.20,76075.81
2,12.28,76136.59
2,12.33,76185.69
2,12.41,76245.95
2,12.46,76293.48
2,12.53,76352.61
2,12.59,76400.38
2,12.66,76459.81
2,12.71,76507.25
2,12.79,76567.07
2,12.84,76614.56
2,12.92,76673.21
2,12.97,76719.81
2,13.05,76778.56
2,13.10,76824.92
2,13.18,76883.28
2,13.23,76929.34
2,13.31,76987.13
2,13.36,77033.86
2,13.44,77091.81
2,13.49,77138.07
2,13.57,77194.97
2,13.62,77230.35
2,13.67,77278.27
2,13.75,77336.88
2,13.80,77383.34
2,13.88,77440.89
2,13.93,77486.85
2,14.01,77543.09
2,14.06,77587.91
2,14.14,77643.27
2,14.19,77686.96
2,14.27,77741.88
2,14.32,77785.41
2,14.40,77839.73
2,14.45,77883.67
2,14.52,77938.09
2,14.57,77981.30
2,14.65,78034.38
2,14.70,78077.17
2,14.78,78131.20
2,14.83,78174.00
2,14.91,78227.56
2,14.96,78269.94
2,15.04,78322.70
2,15.09,78364.47
2,15.17,78417.05
2,15.22,78459.16
2,15.30,78511.77
2,15.35,78553.16
2,15.43,78605.13
2,15.48,78646.31
2,15.56,78697.98
2,15.61,78729.98
2,15.66,78773.22
2,15.74,78826.84
2,15.79,78869.23
2,15.87,78921.30
2,15.92,78962.62
2,16.00,79013.27
2,16.05,79053.41
2,16.13,79104.66
2,16.18,79145.62
2,16.26,79196.36
2,16.31,79236.39
2,16.39,79286.93
2,16.44,79326.93
2,16.51,79376.47
2,16.57,79415.59
2,16.64,79465.16
2,16.69,79505.16
2,16.77,79554.91
2,16.82,79594.70
2,16.90,79644.45
2,16.95,79683.98
2,17.03,79733.19
2,17.08,79772.28
2,17.16,79821.71
2,17.21,79861.33
2,17.29,79910.70
2,17.34,79950.70
2,17.42,80000.16
2,17.47,80039.16
2,17.55,80087.46
2,17.60,80117.70
2,17.65,80159.30
2,17.73,80210.93
2,17.78,80251.45
2,17.86,80301.31
2,17.91,80341.13
2,17.99,80389.66
2,18.04,80428.55
2,18.12,80477.80
2,18.17,80517.52
2,18.25,80566.63
2,18.30,80605.34
2,18.38,80654.66
2,18.43,80693.28
2,18.50,80741.25
2,18.56,80780.08
2,18.63,80828.98
2,18.68,80868.43
2,18.76,80917.47
2,18.81,80956.42
2,18.89,81005.52
2,18.94,81044.87
2,19.02,81093.48
2,19.07,81132.27
2,19.15,81181.64
2,19.20,81220.77
2,19.28,81269.56
2,19.33,81309.12
2,19.41,81357.47
2,19.46,81395.97
2,19.54,81444.23
2,19.59,81474.70
2,19.64,81516.13
2,19.72,81568.16
2,19.77,81608.63
2,19.85,81658.59
2,19.90,81698.05
2,19.98,81747.39
2,20.03,81786.40
2,20.11,81835.52
2,20.16,81875.13
2,20.24,81923.66
2,20.29,81962.81
2,20.37,82012.45
2,20.42,82051.75
2,20.50,82100.75
2,20.55,82139.21
2,20.62,82188.19
2,20.67,82227.78
2,20.75,82277.52
2,20.80,82317.08
2,20.88,82367.08
2,20.93,82406.67
2,21.01,82455.62
2,21.06,82494.71
2,21.14,82545.10
2,21.19,82585.13
2,21.27,82634.59
2,21.32,82674.63
2,21.40,82724.17
2,21.45,82763.47
2,21.53,82812.52
2,21.58,82843.95
2,21.64,82887.33
2,21.71,82941.09
2,21.76,82983.03
2,21.84,83035.03
2,21.89,83075.39
2,21.97,83125.53
2,22.02,83165.66
2,22.10,83216.56
2,22.15,83256.91
2,22.23,83307.63
2,22.28,83348.58
2,22.36,83399.13
2,22.41,83439.43
2,22.49,83489.66
2,22.54,83530.04
2,22.62,83580.73
2,22.67,83622.30
2,22.75,83673.61
2,22.80,83714.52
2,22.87,83765.61
2,22.92,83806.48
2,23.00,83856.98
2,23.05,83898.03
2,23.13,83950.11
2,23.18,83991.35
2,23.26,84042.80
2,23.31,84083.96
2,23.39,84135.43
2,23.44,84176.35
2,23.52,84228.50
2,23.58,84260.71
2,23.62,84304.32
2,23.70,84358.31
2,23.75,84400.92
2,23.83,84453.57
2,23.88,84495.15
2,23.96,84547.47
2,24.01,84590.13
2,24.09,84642.54
2,24.14,84683.59
2,24.22,84735.77
2,24.27,84777.16
2,24.35,84829.53
2,24.40,84870.83
2,24.48,84923.53
2,24.53,84965.63
2,24.61,85018.09
2,24.66,85060.03
2,24.74,85112.44
2,24.79,85155.13
2,24.86,85207.41
2,24.92,85249.33
2,24.99,85303.25
2,25.04,85345.13
2,25.12,85397.36
2,25.17,85439.39
2,25.25,85492.28
2,25.30,85534.16
2,25.38,85586.81
2,25.43,85629.03
2,25.51,85682.70
2,25.57,85716.13
2,25.61,85761.36
2,25.69,85816.56
2,25.74,85860.36
2,25.82,85914.30
2,25.87,85958.31
2,25.95,86012.75
2,26.00,86055.69
2,26.08,86109.83
2,26.13,86152.73
2,26.21,86206.42
2,26.26,86249.14
2,26.34,86302.97
2,26.39,86346.34
2,26.47,86401.24
2,26.52,86445.00
2,26.60,86499.33
2,26.65,86542.77
2,26.73,86596.81
2,26.78,86641.71
2,26.85,86697.48
2,26.91,86741.73
2,26.98,86796.62
2,27.03,86840.52
2,27.11,86894.78
2,27.16,86939.34
2,27.24,86995.78
2,27.29,87040.98
2,27.37,87097.51
2,27.42,87142.73
2,27.50,87198.63
2,27.56,87233.25
2,27.60,87281.38
2,27.68,87341.44
2,27.73,87388.23
2,27.81,87446.63
2,27.86,87492.59
2,27.94,87549.84
2,27.99,87595.91
2,28.07,87653.55
2,28.12,87700.16
2,28.20,87758.47
2,28.25,87805.29
2,28.33,87863.07
2,28.38,87908.95
2,28.46,87965.70
2,28.51,88012.22
2,28.59,88070.26
2,28.64,88116.94
2,28.72,88174.45
2,28.77,88220.81
2,28.84,88279.04
2,28.90,88326.11
2,28.97,88384.77
2,29.02,88432.16
2,29.10,88492.39
2,29.15,88539.98
2,29.23,88598.53
2,29.28,88645.53
2,29.36,88705.68
2,29.41,88753.75
2,29.49,88814.42
2,29.55,88851.88
2,29.59,88902.38
2,29.67,88964.39
2,29.72,89014.08
2,29.80,89076.20
2,29.85,89125.40
2,29.93,89186.09
2,29.98,89234.36
2,30.06,89293.94
2,30.11,89342.70
2,30.19,89404.22
2,30.24,89453.97
2,30.32,89515.66
2,30.37,89564.68
2,30.45,89625.31
2,30.50,89673.96
2,30.58,89735.80
2,30.63,89786.11
2,30.71,89848.83
2,30.76,89898.48
2,30.83,89961.05
2,30.89,90011.44
2,30.96,90075.92
2,31.01,90127.44
2,31.09,90191.77
2,31.14,90243.27
2,31.22,90307.32
2,31.27,90359.03
2,31.35,90423.69
2,31.40,90475.86
2,31.48,90541.00
2,31.53,90581.36
2,31.58,90636.47
2,31.66,90705.19
2,31.71,90760.13
2,31.79,90827.41
2,31.84,90880.79
2,31.92,90946.45
2,31.97,90998.88
2,32.05,91065.15
2,32.10,91118.03
2,32.18,91185.02
2,32.23,91238.49
2,32.31,91303.93
2,32.36,91356.58
2,32.44,91424.14
2,32.49,91477.94
2,32.57,91545.59
2,32.62,91599.53
2,32.70,91666.34
2,32.75,91720.91
2,32.83,91789.43
2,32.88,91844.48
2,32.95,91913.63
2,33.00,91969.02
2,33.08,92038.22
2,33.13,92094.49
2,33.21,92164.39
2,33.26,92220.24
2,33.34,92289.59
2,33.39,92344.77
2,33.47,92413.95
2,33.53,92457.84
2,33.58,92517.69
2,33.66,92591.68
2,33.71,92649.56
2,33.79,92721.64
2,33.84,92779.78
2,33.92,92851.85
2,33.97,92909.88
2,34.04,92982.02
2,34.09,93039.42
2,34.17,93111.20
2,34.22,93168.69
2,34.30,93241.81
2,34.35,93300.22
2,34.43,93372.88
2,34.48,93431.98
2,34.56,93505.82
2,34.61,93564.83
2,34.69,93638.44
2,34.74,93696.80
2,34.82,93770.83
2,34.87,93830.48
2,34.95,93906.41
2,35.00,93967.56
2,35.08,94043.00
2,35.13,94104.98
2,35.21,94183.38
2,35.26,94246.84
2,35.33,94326.22
2,35.38,94389.70
2,35.46,94470.53
2,35.52,94521.54
2,35.57,94591.41
2,35.65,94677.31
2,35.70,94745.13
2,35.78,94831.99
2,35.83,94901.30
2,35.90,94988.20
2,35.96,95057.52
2,36.03,95144.71
2,36.08,95215.33
2,36.16,95303.98
2,36.21,95375.16
2,36.29,95465.59
2,36.34,95538.38
2,36.42,95629.86
2,36.47,95702.91
2,36.55,95795.30
2,36.60,95870.34
2,36.68,95965.02
2,36.73,96040.84
2,36.81,96136.16
2,36.86,96213.45
2,36.94,96311.20
2,36.99,96389.31
2,37.07,96487.39
2,37.12,96566.92
2,37.19,96666.94
2,37.24,96746.72
2,37.32,96847.27
2,37.37,96928.13
2,37.45,97028.40
2,37.51,97091.15
2,37.56,97176.69
2,37.64,97283.17
2,37.69,97367.53
2,37.77,97471.27
2,37.82,97554.05
2,37.90,97657.27
2,37.94,97738.59
2,38.02,97840.30
2,38.07,97922.19
2,38.15,98024.09
2,38.20,98105.02
2,38.28,98206.14
2,38.33,98286.84
2,38.41,98387.34
2,38.46,98466.98
2,38.54,98566.52
2,38.59,98646.41
2,38.67,98745.53
2,38.72,98823.23
2,38.80,98921.05
2,38.85,98999.72
2,38.93,99097.06
2,38.98,99174.30
2,39.06,99271.55
2,39.11,99350.42
2,39.19,99449.56
2,39.24,99528.66
2,39.31,99626.67
2,39.36,99704.75
2,39.44,99797.48
