state, time, pressure
0,0.00,101325.01
0,0.11,101325.02
0,0.22,101325.04
0,0.33,101325.08
0,0.43,101325.14
0,0.54,101325.18
0,0.65,101325.21
0,0.76,101325.23
0,0.87,101325.28
0,0.97,101325.30
0,1.08,101325.37
0,1.19,101325.41
0,1.30,101325.49
0,1.41,101325.58
0,1.51,101325.64
0,1.62,101325.69
0,1.73,101325.72
0,1.84,101325.76
0,1.95,101325.78
0,2.05,101325.85
0,2.16,101325.89
0,2.27,101325.94
0,2.38,101325.98
0,2.49,101326.01
0,2.59,101326.05
0,2.70,101326.06
0,2.81,101326.09
0,2.92,101326.08
0,3.03,101326.07
0,3.13,101326.06
0,3.24,101326.08
0,3.36,101326.09
0,3.47,101326.13
0,3.58,101326.16
0,3.68,101326.18
0,3.79,101326.24
0,3.89,101326.26
0,3.99,101326.29
0,4.09,101326.30
0,4.20,101326.41
0,4.30,101326.53
0,4.40,101326.64
0,4.50,101326.75
0,4.60,101326.80
0,4.70,101326.80
0,4.81,101326.81
0,4.91,101326.91
1,5.01,101326.95
1,5.11,101097.51
1,5.22,101011.33
1,5.32,100909.49
1,5.42,100778.38
1,5.52,100604.41
1,5.62,100324.42
1,5.72,99896.41
1,5.83,99313.84
1,5.93,98630.52
1,6.03,97965.07
1,6.13,97452.80
1,6.24,97108.45
1,6.34,96830.99
1,6.44,96534.74
1,6.55,95910.12
1,6.66,95184.52
1,6.76,94550.37
1,6.86,94082.23
1,6.96,93733.67
1,7.06,93394.79
1,7.16,93044.05
1,7.27,92700.09
1,7.37,92350.48
1,7.47,91949.58
1,7.57,91438.90
1,7.68,90796.47
1,7.78,90059.87
1,7.88,89335.38
1,7.98,88743.91
1,8.08,88286.95
1,8.19,87896.73
1,8.29,87494.49
1,8.39,87090.28
1,8.49,86698.01
1,8.59,86307.02
1,8.69,85880.23
1,8.80,85363.77
1,8.90,84736.06
1,9.00,84022.78
1,9.10,83313.30
1,9.20,82715.96
1,9.31,82239.24
1,9.41,81834.74
1,9.51,81426.30
1,9.61,81010.91
1,9.72,80605.63
1,9.83,80189.84
1,9.93,79777.69
1,10.03,79353.19
1,10.14,78931.39
1,10.24,78523.18
1,10.34,78127.13
1,10.44,77727.95
1,10.54,77286.22
1,10.65,76767.12
1,10.75,76164.56
1,10.85,75507.23
1,10.95,74861.03
1,11.05,74298.48
1,11.15,73825.46
1,11.26,73423.83
1,11.36,73046.53
1,11.46,72659.98
1,11.56,72270.97
1,11.66,71889.30
