state, time, pressure
0,-0.00,-1.2147483647
0,0.07,101325.01
0,0.15,101324.84
0,0.22,101323.95
0,0.29,101324.70
0,0.36,101326.33
0,0.43,101326.56
0,0.51,101325.47
0,0.58,101325.28
0,0.65,101325.80
0,0.72,101324.46
0,0.79,101325.64
0,0.87,101327.36
0,0.94,101327.09
0,1.01,101326.15
0,1.08,101326.55
0,1.15,101325.20
0,1.23,101326.27
0,1.30,101327.59
0,1.37,101326.27
0,1.44,101324.94
0,1.51,101324.27
0,1.59,101327.33
0,1.66,101325.72
0,1.73,101326.39
0,1.80,101325.33
0,1.87,101323.05
0,1.95,101327.14
0,2.02,101325.72
0,2.09,101325.41
0,2.17,101326.08
0,2.25,101326.00
0,2.32,101325.33
0,2.39,101325.72
0,2.46,101325.05
0,2.53,101323.80
0,2.61,101326.87
0,2.68,101325.80
0,2.75,101323.53
0,2.82,101325.14
0,2.89,101325.80
0,2.97,101326.87
0,3.04,101323.14
0,3.11,101324.87
0,3.18,101325.26
0,3.25,101325.14
0,3.33,101325.53
0,3.40,101327.53
0,3.47,101326.98
0,3.54,101326.47
0,3.61,101327.66
0,3.68,101326.59
0,3.74,101327.03
0,3.80,101325.63
0,3.87,101324.50
0,3.92,101329.67
0,3.98,101327.72
0,4.04,101326.90
0,4.11,101328.08
0,4.16,101326.83
0,4.22,101328.64
0,4.28,101326.16
0,4.33,101326.83
0,4.40,101326.91
0,4.45,101328.25
0,4.52,101326.77
0,4.57,101328.48
0,4.64,101327.27
0,4.69,101325.00
0,4.76,101324.84
0,4.81,101328.17
0,4.88,101328.17
0,4.93,101328.56
0,5.00,101329.31
1,5.05,95850.96
1,5.12,87587.02
1,5.17,90813.93
1,5.24,97797.03
1,5.29,98066.11
1,5.36,87746.58
1,5.41,85654.78
1,5.48,94998.00
1,5.53,96013.38
1,5.60,90680.88
1,5.65,84051.11
1,5.72,90551.13
1,5.77,93787.38
1,5.84,92139.22
1,5.89,84797.55
1,5.96,86246.03
1,6.01,91362.85
1,6.08,91793.56
1,6.13,87070.19
1,6.18,90251.94
1,6.23,86143.47
1,6.30,81364.39
1,6.35,86774.97
1,6.42,89100.50
1,6.47,87943.13
1,6.54,78245.95
1,6.59,82280.78
1,6.66,87551.92
1,6.71,87334.27
1,6.78,77226.97
1,6.83,78114.19
1,6.90,85787.58
1,6.95,85486.80
1,7.02,78860.55
1,7.07,75269.51
1,7.14,83260.02
1,7.19,84042.72
1,7.26,80968.48
1,7.31,74570.81
1,7.38,79663.73
1,7.43,82357.60
1,7.50,81870.67
1,7.55,76503.13
1,7.62,75562.91
1,7.67,79975.36
