state,time,pressure,
0,0,101372.5062,
0,0.05,101374.3451,
0,0.1,101370.2051,
0,0.15,101322.9025,
0,0.2,101294.3361,
0,0.25,101381.8721,
0,0.3,101343.2302,
0,0.35,101352.5245,
0,0.4,101372.074,
1,0.45,101252.2715,
1,0.5,101262.2638,
1,0.55,101252.4085,
1,0.6,101168.7433,
1,0.65,101203.0188,
1,0.7,101183.1858,
1,0.75,101225.0013,
1,0.8,101124.9662,
1,0.85,101081.9667,
1,0.9,101075.4831,
1,0.95,101145.0596,
1,1,101075.2423,
1,1.05,101151.5797,
1,1.1,101173.4903,
1,1.15,101191.4688,
1,1.2,101178.8093,
1,1.25,101209.9414,
1,1.3,101183.0514,
1,1.35,101163.2691,
1,1.4,101092.3902,
1,1.45,101140.4281,
1,1.5,101109.7839,
1,1.55,101075.0274,
1,1.6,101106.5139,
1,1.65,101145.9228,
1,1.7,101047.2148,
1,1.75,101061.0046,
1,1.8,101078.5684,
1,1.85,101070.9696,
1,1.9,101013.1556,
1,1.95,100988.5988,
1,2,101087.4357,
1,2.05,101020.0761,
1,2.1,101151.3976,
1,2.15,101126.8884,
1,2.2,100950.7237,
1,2.25,101080.9818,
1,2.3,101028.0979,
1,2.35,100993.2278,
1,2.4,101002.2699,
1,2.45,100982.7947,
1,2.5,101037.2322,
1,2.55,101109.1388,
1,2.6,101040.2082,
1,2.65,100919.9205,
1,2.7,101022.8459,
1,2.75,101020.2014,
1,2.8,100968.1336,
1,2.85,100887.6671,
1,2.9,101032.7587,
1,2.95,101033.3164,
1,3,100976.265,
1,3.05,100938.7731,
1,3.1,100905.6809,
1,3.15,100963.4296,
1,3.2,101012.0708,
1,3.25,100983.4371,
1,3.3,100920.6902,
1,3.35,100931.6875,
1,3.4,100943.204,
1,3.45,100958.1914,
1,3.5,100941.8663,
1,3.55,100868.2391,
1,3.6,100878.2339,
1,3.65,100957.3032,
1,3.7,100839.2741,
1,3.75,100948.3219,
1,3.8,100947.3727,
1,3.85,100854.6805,
1,3.9,101005.5086,
1,3.95,100945.3901,
1,4,100837.6327,
1,4.05,100760.1015,
1,4.1,100843.7337,
1,4.15,100810.4473,
1,4.2,100815.4109,
1,4.25,100832.8365,
1,4.3,100742.5103,
1,4.35,100821.492,
1,4.4,100813.3297,
1,4.45,100780.0243,
1,4.5,100879.8396,
1,4.55,100830.9964,
1,4.6,100765.627,
1,4.65,100900.9982,
1,4.7,100832.9241,
1,4.75,100655.6441,
1,4.8,100760.2703,
1,4.85,100817.914,
1,4.9,100821.9044,
1,4.95,100772.3452,
1,5,100712.073,
1,5.05,100789.7297,
1,5.1,100798.7732,
1,5.15,100717.339,
1,5.2,100745.3086,
1,5.25,100670.6404,
1,5.3,100741.3404,
1,5.35,100731.8034,
1,5.4,100767.4321,
1,5.45,100704.2503,
1,5.5,100666.8792,
1,5.55,100783.2841,
1,5.6,100693.899,
1,5.65,100748.8026,
1,5.7,100727.0463,
1,5.75,100689.8384,
1,5.8,100692.2541,
1,5.85,100694.3516,
1,5.9,100694.1641,
1,5.95,100688.774,
1,6,100683.7408,
1,6.05,100690.1365,
1,6.1,100703.5501,
1,6.15,100576.0998,
1,6.2,100714.6598,
1,6.25,100694.8024,
1,6.3,100617.2599,
1,6.35,100602.0363,
1,6.4,100597.7879,
1,6.45,100638.3275,
1,6.5,100713.9764,
1,6.55,100554.6673,
1,6.6,100554.3038,
1,6.65,100605.697,
1,6.7,100712.2354,
1,6.75,100556.0424,
1,6.8,100599.4652,
1,6.85,100648.4113,
1,6.9,100568.1838,
1,6.95,100589.699,
1,7,100529.2888,
1,7.05,100613.2608,
