state,time,pressure
0.00,0.00,101325.00
0.00,0.05,101325.00
0.00,0.10,101325.00
0.00,0.15,101325.00
0.00,0.20,101325.00
0.00,0.25,101325.00
0.00,0.30,101325.00
0.00,0.35,101325.00
0.00,0.40,101325.00
1.00,0.45,101225.00
1.00,0.50,101220.00
1.00,0.55,101215.00
1.00,0.60,101210.00
1.00,0.65,101205.00
1.00,0.70,101200.00
1.00,0.75,101195.00
1.00,0.80,101190.00
1.00,0.85,101185.00
1.00,0.90,101180.00
1.00,0.95,101175.00
1.00,1.00,101170.00
1.00,1.05,101165.00
1.00,1.10,101160.00
1.00,1.15,101155.00
1.00,1.20,101150.00
1.00,1.25,101145.00
1.00,1.30,101140.00
1.00,1.35,101135.00
1.00,1.40,101130.00
1.00,1.45,101125.00
1.00,1.50,101120.00
1.00,1.55,101115.00
1.00,1.60,101110.00
1.00,1.65,101105.00
1.00,1.70,101100.00
1.00,1.75,101095.00
1.00,1.80,101090.00
1.00,1.85,101085.00
1.00,1.90,101080.00
1.00,1.95,101075.00
1.00,2.00,101070.00
1.00,2.05,101065.00
1.00,2.10,101060.00
1.00,2.15,101055.00
1.00,2.20,101050.00
1.00,2.25,101045.00
1.00,2.30,101040.00
1.00,2.35,101035.00
1.00,2.40,101030.00
1.00,2.45,101025.00
1.00,2.50,101020.00
1.00,2.55,101015.00
1.00,2.60,101010.00
1.00,2.65,101005.00
1.00,2.70,101000.00
1.00,2.75,100995.00
1.00,2.80,100990.00
1.00,2.85,100985.00
1.00,2.90,100980.00
1.00,2.95,100975.00
1.00,3.00,100970.00
1.00,3.05,100965.00
1.00,3.10,100960.00
1.00,3.15,100955.00
1.00,3.20,100950.00
1.00,3.25,100945.00
1.00,3.30,100940.00
1.00,3.35,100935.00
1.00,3.40,100930.00
1.00,3.45,100925.00
1.00,3.50,100920.00
1.00,3.55,100915.00
1.00,3.60,100910.00
1.00,3.65,100905.00
1.00,3.70,100900.00
1.00,3.75,100895.00
1.00,3.80,100890.00
1.00,3.85,100885.00
1.00,3.90,100880.00
1.00,3.95,100875.00
1.00,4.00,100870.00
1.00,4.05,100865.00
1.00,4.10,100860.00
1.00,4.15,100855.00
1.00,4.20,100850.00
1.00,4.25,100845.00
1.00,4.30,100840.00
1.00,4.35,100835.00
1.00,4.40,100830.00
1.00,4.45,100825.00
1.00,4.50,100820.00
1.00,4.55,100815.00
1.00,4.60,100810.00
1.00,4.65,100805.00
1.00,4.70,100800.00
1.00,4.75,100795.00
1.00,4.80,100790.00
1.00,4.85,100785.00
1.00,4.90,100780.00
1.00,4.95,100775.00
1.00,5.00,100770.00
1.00,5.05,100765.00
1.00,5.10,100760.00
1.00,5.15,100755.00
1.00,5.20,100750.00
1.00,5.25,100745.00
1.00,5.30,100740.00
1.00,5.35,100735.00
1.00,5.40,100730.00
1.00,5.45,100725.00
1.00,5.50,100720.00
1.00,5.55,100715.00
1.00,5.60,100710.00
1.00,5.65,100705.00
1.00,5.70,100700.00
1.00,5.75,100695.00
1.00,5.80,100690.00
1.00,5.85,100685.00
